year,catch_t,SSB_t,B4plus_t,I_normalised,recruitment_000s,HR_ices,HR_data,delta_log_B,R_over_SSB,stock_productivity,catch_source
1955,545250.0,764385,2091599,1.0,151043,0.24,0.2607,-0.1395,188.106779,2091484.0,ICES_Table8
1956,486909.0,615134,1819295,0.8698,143786,0.26,0.2676,-0.1034,262.528165,1819540.0,ICES_Table8
1957,455182.0,592664,1640587,0.7844,161490,0.3,0.2775,0.0064,362.912207,1640295.0,ICES_Table8
1958,517359.0,705042,1651179,0.7894,215085,0.29,0.3133,-0.0434,430.578604,1651321.0,ICES_Table8
1959,459081.0,655335,1581060,0.7559,303576,0.3,0.2904,0.0471,234.817307,1580857.0,ICES_Table8
1960,470121.0,603839,1657275,0.7923,153884,0.25,0.2837,-0.1473,324.457347,1657106.0,ICES_Table8
1961,377291.0,477929,1430278,0.6838,195920,0.27,0.2638,0.0234,262.522257,1430216.0,ICES_Table8
1962,388985.0,515102,1464176,0.7,125467,0.28,0.2657,-0.1196,336.513933,1464001.0,ICES_Table8
1963,408800.0,471713,1299082,0.6211,173339,0.33,0.3147,-0.0699,418.983577,1299015.0,ICES_Table8
1964,437012.0,431796,1211340,0.5791,197640,0.33,0.3608,-0.1399,508.397484,1211231.0,ICES_Table8
1965,387106.0,331192,1053223,0.5035,219524,0.35,0.3675,0.0097,703.359381,1053350.0,ICES_Table8
1966,353357.0,301778,1063541,0.5085,232947,0.32,0.3322,0.0691,1059.305185,1063688.0,ICES_Table8
1967,335721.0,283868,1139640,0.5449,319675,0.32,0.2946,0.086,603.787676,1139582.0,ICES_Table8
1968,381770.0,251008,1242034,0.5938,171396,0.32,0.3074,0.0727,954.798253,1241932.0,ICES_Table8
1969,403205.0,357110,1335708,0.6386,239662,0.34,0.3019,-0.0022,503.427515,1335558.0,ICES_Table8
1970,475077.0,359970,1332743,0.6372,179779,0.34,0.3565,-0.2067,536.439148,1332614.0,ICES_Table8
1971,444248.0,259682,1083850,0.5182,193102,0.38,0.4099,-0.1017,547.65829,1083796.0,ICES_Table8
1972,395166.0,235430,979056,0.4681,142217,0.39,0.4036,-0.1636,1179.977063,979103.0,ICES_Table8
1973,369205.0,250251,831287,0.3974,277802,0.44,0.4441,0.0902,748.228778,831356.0,ICES_Table8
1974,368133.0,192162,909797,0.435,187245,0.4,0.4046,-0.0202,1348.908733,909869.0,ICES_Table8
1975,364754.0,175460,891560,0.4263,259209,0.4,0.4091,0.0622,2098.147726,891601.0,ICES_Table8
1976,346253.0,146692,948775,0.4536,368141,0.36,0.3649,0.3124,984.014125,948898.0,ICES_Table8
